"2jFuFpI503n5qbn5YybeuG","Various Faces of BLACK METAL","","https://mosaic.scdn.co/640/ab67616d0000b2732b58dcaa52f824711a95ab1bab67616d0000b27333d902bed9cf65ddc21e3829ab67616d0000b2735703e06509829606e853884bab67616d0000b2738f636665704bb33e9deb1c9e","1187058818","Michał 'Neithan' Kiełbasa","user"
"2ldcJjPy7eNz65YoD76Y4k","LOFI HEROES","","https://i.scdn.co/image/ab67706c0000bebb3177bf7cb8bda92bb03318fa","pulshar","Pulshar","user"
"2lqYnxVJyFXxJNNBGGTG3H","Funeral Doom Metal / Death Doom","Masterpieces of Funeral&#x2F;Death&#x2F;Atmospheric Doom.  Some Melodic&#x2F;Traditional&#x2F;Blackened Doom Metal.  Always adding new stuff!","https://i.scdn.co/image/ab67706c0000bebb6d4cec5ffb59d7348093d92c","22qiln2s76dmynoprq6fowkya","Rise to the Sky","user"
"2zYZRiXIyWb5JiXQIGHrhd","Doom Folk","A mix of folk, bluegrass, and acoustic black &amp; doom metal. Channeling dark and gothic sounds from diverse artists. Themes of death, nature, love and loss, and revolution. (playlist photo: H.E. Deutsch, 1936)","https://i.scdn.co/image/ab67706c0000bebba00a5c35e27e026015f2d324","5k3mohr6akffpretd2isajlrx","Nat","user"
"33SyxQJiXNzb2I1uG87n0n","drone doom X","","https://mosaic.scdn.co/640/ab67616d0000b27333d39698b74d27f99878ace5ab67616d0000b2735ad2304d1e21ce329e5d3995ab67616d0000b2736da79ce4a0a2c682a41bf9bdab67616d0000b273bccac457458eb28402004e39","1187058818","Michał 'Neithan' Kiełbasa","user"
"37i9dQZF1DWSFNWN7fsnAm","MK's track IDs","Listen to <a href=""spotify:artist:1yqxFtPHKcGcv6SXZNdyT9"">MK</a>'s favorite tracks. Updated regularly. More track IDs <a href=""spotify:genre:track_id"">here</a>.","https://i.scdn.co/image/ab67706f00000003f9da121cd77632eb0d61c6f2","spotify","Spotify","user"
"37i9dQZF1DWSHhwkucwkT0","Desiree's DJ Mix","The South African DJ Desiree delivers an elegant mix that blends Afro-House and Deep-Tech","https://i.scdn.co/image/ab67706f0000000374ea1dca4adb0f59cd1f72e7","spotify","Spotify","user"
"37i9dQZF1DWSM6VFl9k2Ba","Joplyn's DJ Mix","Emerging DJ & producer <a href=""spotify:artist:32Jt1AK733JbFR82hEZ0Ih"">Joplyn</a> brings us palette of underground sounds.","https://i.scdn.co/image/ab67706f00000003e0553963442d9d289cbb2136","spotify","Spotify","user"
"37i9dQZF1DWSQxGzwb8MDD","Monster's track IDs","Monsters's favorite tracks. Updated regularly. Curated by Monster. Discover more track IDs playlists <a href=""spotify:genre:track_id"">here</a>.
","https://i.scdn.co/image/ab67706f00000003dcee656e2175ea488677471c","spotify","Spotify","user"
"37i9dQZF1DWSXhGIsh9lqr","ANNA's DJ Mix","Brazilian DJ and Producer <a href=""spotify:artist:3wkaDi2HJV3eCaBJ4iH6om"">ANNA</a> delivers a high-energy Techno mix.","https://i.scdn.co/image/ab67706f0000000326bc09902fd89fe2feca7dcb","spotify","Spotify","user"
